,county,centroid,longitude,latitude
156,reeves,"-103.642483920436,31.41174238334996",-103.642483920436,31.41174238334996
157,freestone,"-96.10049511577645,31.73541862230902",-96.10049511577645,31.73541862230902
158,coleman,"-99.46172204134538,31.7278458044207",-99.46172204134538,31.7278458044207
159,runnels,"-99.97617138448841,31.83133947419353",-99.97617138448841,31.83133947419353
160,brown,"-99.00261972265318,31.75652452893002",-99.00261972265318,31.75652452893002
161,coke,"-100.529526829146,31.88880700033211",-100.529526829146,31.88880700033211
162,culberson,"-104.5374157640734,31.42444105716359",-104.5374157640734,31.42444105716359
163,sterling,"-101.0475915017164,31.82568372291131",-101.0475915017164,31.82568372291131
164,glasscock,"-101.5206598235897,31.86948322744289",-101.5206598235897,31.86948322744289
165,midland,"-102.0315254874857,31.86913196583747",-102.0315254874857,31.86913196583747
166,ector,"-102.5430444293843,31.86912206624243",-102.5430444293843,31.86912206624243
167,shelby,"-94.1546725304426,31.78618066725405",-94.1546725304426,31.78618066725405
168,winkler,"-103.0512121932702,31.85741587146786",-103.0512121932702,31.85741587146786
169,tarrant,"-97.29094881584557,32.77194664609873",-97.29094881584557,32.77194664609873
170,dallas,"-96.77795236329888,32.76646612361171",-96.77795236329888,32.76646612361171
171,crosby,"-101.2997705729496,33.61472922415356",-101.2997705729496,33.61472922415356
172,lubbock,"-101.8206164216139,33.61020116214058",-101.8206164216139,33.61020116214058
173,archer,"-98.6872760392049,33.61529731253186",-98.6872760392049,33.61529731253186
174,hockley,"-102.3431714298809,33.60801582030415",-102.3431714298809,33.60801582030415
175,cochran,"-102.8284947228186,33.60292494714405",-102.8284947228186,33.60292494714405
176,fannin,"-96.1136735676038,33.62477339997375",-96.1136735676038,33.62477339997375
177,cooke,"-97.19947327332345,33.70428351711462",-97.19947327332345,33.70428351711462
178,grayson,"-96.6908326084273,33.66500528835864",-96.6908326084273,33.66500528835864
179,montague,"-97.72645702922132,33.69092349215446",-97.72645702922132,33.69092349215446
180,lamar,"-95.56991270611577,33.64604991893253",-95.56991270611577,33.64604991893253
181,red river,"-95.01708864957826,33.60962393968971",-95.01708864957826,33.60962393968971
182,clay,"-98.19860584054396,33.80907284933066",-98.19860584054396,33.80907284933066
183,wichita,"-98.70781883916393,33.99969687279788",-98.70781883916393,33.99969687279788
184,foard,"-99.75476895967803,33.95493938418152",-99.75476895967803,33.95493938418152
185,cottle,"-100.2646430316632,34.08627152533642",-100.2646430316632,34.08627152533642
186,motley,"-100.779839593587,34.07416527501147",-100.779839593587,34.07416527501147
187,floyd,"-101.3033627595771,34.07239694146992",-101.3033627595771,34.07239694146992
188,hale,"-101.827080574568,34.07064641317821",-101.827080574568,34.07064641317821
189,rockwall,"-96.40790122703483,32.89778401063742",-96.40790122703483,32.89778401063742
190,rains,"-95.79395604667067,32.84714163730213",-95.79395604667067,32.84714163730213
191,wood,"-95.37387055813851,32.76506187234241",-95.3738705581385,32.76506187234241
192,camp,"-94.95058458639031,32.97898950540426",-94.9505845863903,32.97898950540426
193,stonewall,"-100.2558040696658,33.17854172559083",-100.2558040696658,33.17854172559083
194,haskell,"-99.73045567520198,33.17851449747918",-99.73045567520198,33.17851449747918
195,kent,"-100.7787364949435,33.18339195654256",-100.7787364949435,33.18339195654256
196,throckmorton,"-99.2123849372185,33.17744091372801",-99.2123849372185,33.17744091372801
197,garza,"-101.2988959135506,33.18025989468852",-101.2988959135506,33.18025989468852
198,lynn,"-101.8157504358468,33.17668773156474",-101.8157504358468,33.17668773156474
199,young,"-98.68779467733843,33.17691119733058",-98.68779467733843,33.17691119733058
200,terry,"-102.3352141585537,33.17380529204003",-102.3352141585537,33.17380529204003
201,yoakum,"-102.82775971242,33.17264160090647",-102.82775971242,33.17264160090647
202,cass,"-94.33727013835335,33.12928776399876",-94.33727013835335,33.12928776399876
203,collin,"-96.56893522424997,33.19022440067993",-96.56893522424997,33.19022440067993
204,denton,"-97.11698787824345,33.20528479334774",-97.11698787824345,33.20528479334774
205,wise,"-97.65406617435715,33.21633815457073",-97.65406617435715,33.21633815457073
206,hopkins,"-95.57070731026589,33.1833182690356",-95.57070731026589,33.1833182690356
207,morris,"-94.73760133064935,33.13808794376317",-94.73760133064935,33.13808794376317
208,hunt,"-96.07422480147289,33.10639212337385",-96.0742248014729,33.10639212337385
209,franklin,"-95.21618482059223,33.1970028311938",-95.21618482059223,33.1970028311938
210,jack,"-98.17177250742473,33.23438884415867",-98.17177250742473,33.23438884415867
211,titus,"-94.96562230204808,33.21107562406387",-94.96562230204808,33.21107562406387
212,delta,"-95.61624833423865,33.38014864796009",-95.61624833423865,33.38014864796009
213,bowie,"-94.40741728471227,33.46191879304221",-94.40741728471227,33.46191879304221
214,knox,"-99.73549293808634,33.63087435578087",-99.73549293808634,33.63087435578087
215,king,"-100.2557253953283,33.6160233807281",-100.2557253953283,33.6160233807281
216,dickens,"-100.7788628289952,33.61632030389421",-100.7788628289952,33.61632030389421
217,baylor,"-99.21359215528808,33.61661571784847",-99.21359215528808,33.61661571784847
218,dawson,"-101.9475920367211,32.74270988885024",-101.9475920367211,32.74270988885024
219,gaines,"-102.6351929226424,32.74051628501839",-102.6351929226424,32.74051628501839
220,upshur,"-94.93230795998741,32.72839212704168",-94.93230795998741,32.72839212704168
221,marion,"-94.34222739027619,32.78925368554343",-94.3422273902762,32.78925368554343
222,palo pinto,"-98.31518743084435,32.75712561073474",-98.31518743084435,32.75712561073474
223,parker,"-97.80457798220229,32.77806502436826",-97.80457798220229,32.77806502436826
224,randall,"-101.8969772303967,34.96603201750018",-101.8969772303967,34.96603201750018
225,deaf smith,"-102.6051872765988,34.96586463430831",-102.6051872765988,34.96586463430831
226,wheeler,"-100.2699318631082,35.40127999111666",-100.2699318631082,35.40127999111666
227,gray,"-100.8128012338427,35.40117073928686",-100.8128012338427,35.40117073928686
228,carson,"-101.3542075207128,35.40358088409738",-101.3542075207128,35.40358088409738
229,potter,"-101.8941164903566,35.40117657968744",-101.8941164903566,35.40117657968744
230,oldham,"-102.6026101919745,35.40485664466491",-102.6026101919745,35.40485664466491
231,hemphill,"-100.2703033970034,35.83761359787938",-100.2703033970034,35.83761359787938
232,roberts,"-100.8131462888391,35.83792776309608",-100.8131462888391,35.83792776309608
233,hutchinson,"-101.3547276879383,35.84009887616399",-101.3547276879383,35.84009887616399
234,lamb,"-102.3516622369017,34.06835015864419",-102.3516622369017,34.06835015864419
235,bailey,"-102.8302060979833,34.06823538975235",-102.8302060979833,34.06823538975235
236,wilbarger,"-99.24191290913224,34.12667506294294",-99.24191290913224,34.12667506294294
237,hardeman,"-99.74106131717735,34.30270359560117",-99.74106131717735,34.30270359560117
238,childress,"-100.2072949364759,34.52929233835903",-100.2072949364759,34.52929233835903
239,hall,"-100.6811862705923,34.53065649089262",-100.6811862705923,34.53065649089262
240,briscoe,"-101.2086299287796,34.53054430880408",-101.2086299287796,34.53054430880408
241,swisher,"-101.7349029219976,34.53061654013822",-101.7349029219976,34.53061654013822
242,castro,"-102.2618661984263,34.53010386238655",-102.2618661984263,34.53010386238655
243,parmer,"-102.7846227159047,34.52998151922788",-102.7846227159047,34.52998151922788
244,collingsworth,"-100.2700913028682,34.96492857428993",-100.2700913028682,34.96492857428993
245,donley,"-100.8140126021794,34.96520145266386",-100.8140126021794,34.96520145266386
246,armstrong,"-101.3576238846324,34.9651519918076",-101.3576238846324,34.9651519918076
247,lipscomb,"-100.2732325538307,36.27782200484072",-100.2732325538307,36.27782200484072
248,ochiltree,"-100.8159508039317,36.27810280557792",-100.8159508039317,36.27810280557792
249,hansford,"-101.3545483705364,36.27760819832699",-101.3545483705364,36.27760819832699
250,sherman,"-101.8934492352871,36.27755314729604",-101.8934492352871,36.27755314729604
251,dallam,"-102.6020815033561,36.27778721763845",-102.6020815033561,36.27778721763845
252,moore,"-101.8929103016936,35.83756385806713",-101.8929103016936,35.83756385806713
253,hartley,"-102.6030210394136,35.83994355258699",-102.6030210394136,35.83994355258699
