,closest_county,county,closest_distance
94,aransas,refugio,13.003857142750851
10,aransas,calhoun,26.31029102690012
20,austin,colorado,24.9717339221623
69,bailey,lamb,27.42004968133975
22,bell,coryell,31.087835124221883
59,brooks,jim hogg,27.69080702520952
77,brown,mills,29.587820430471513
18,brown,coleman,27.079172174307885
118,burleson,washington,22.890496323158718
76,burleson,milam,29.753913043133387
73,burnet,llano,26.081792515918313
70,burnet,lampasas,28.146811808359118
0,cherokee,anderson,28.589672725287897
62,comal,kendall,25.203317307748993
43,comanche,hamilton,29.96425405485592
89,deaf smith,parmer,31.828397947691567
13,deaf smith,castro,35.906487962555495
85,deaf smith,oldham,30.36574045852767
52,delta,hopkins,13.867241813363831
79,denton,montague,48.638650206881785
123,denton,wise,31.091397994912093
71,dewitt,lavaca,34.346740589964
64,dickens,kent,29.945963951227046
42,dickens,hall,63.49239904146839
66,dickens,king,30.134234755378394
68,dickens,knox,60.104182323309395
106,dickens,stonewall,42.770967632451104
82,dickens,motley,31.669513441915587
14,dickens,childress,71.1368259421396
23,dickens,cottle,43.92340979269219
24,ector,crane,34.133831892599446
122,ector,winkler,29.864486212017002
83,ellis,navarro,27.231057141351677
51,erath,hood,26.40802724349921
103,erath,somervell,26.284983471665576
119,fort bend,wharton,27.82674803578781
65,gillespie,kerr,29.294229987667137
115,goliad,victoria,27.919443346384014
21,grayson,cooke,29.40167219547417
9,hale,briscoe,47.54791421814358
35,hale,floyd,30.007562721756592
6,hays,blanco,27.047810087991014
104,hidalgo,starr,37.371618600072814
16,hockley,cochran,27.961716369491636
75,howard,martin,30.152983241432487
78,howard,mitchell,30.083475935516322
27,hudspeth,culberson,49.29074667813749
91,hunt,rains,24.208727008113446
112,jasper,tyler,14.898506986236715
30,jim wells,duval,26.839927088460332
96,kaufman,rockwall,22.219188155070984
114,kaufman,van zandt,29.55775538213365
49,kaufman,henderson,33.560892565763176
107,kimble,sutton,48.506742378591134
63,kleberg,kenedy,31.948413548866263
53,leon,houston,32.15655012692116
38,leon,freestone,30.72682061504618
26,lubbock,crosby,30.005151155929727
39,lynn,garza,29.923667857236318
116,madison,walker,23.52092790998427
57,matagorda,jackson,34.87446694358308
100,mcculloch,san saba,34.791331223314685
8,mclennan,bosque,34.15151098555841
50,mclennan,hill,29.07847820965595
33,mclennan,falls,26.110211835179317
4,medina,bandera,26.01433905765586
40,midland,glasscock,30.010044919213634
113,midland,upton,34.6079857952632
92,midland,reagan,45.89396065149572
1,nacogdoches,angelina,20.794900159177136
99,nacogdoches,san augustine,23.82861451337898
17,nolan,coke,29.598854595530945
109,pecos,terrell,52.57853315700778
25,pecos,crockett,59.794293553570796
84,potter,ochiltree,85.63973303105027
102,potter,sherman,60.61960479553293
12,potter,carson,30.441190586304856
54,potter,hutchinson,42.9137738630625
28,potter,dallam,72.47465879825913
80,potter,moore,30.18529598721824
120,potter,wheeler,91.57393236235026
46,potter,hartley,50.099351235724576
95,potter,roberts,67.87505764732092
44,potter,hansford,67.75366908166261
41,potter,gray,60.966576589835604
72,potter,lipscomb,109.25779763320254
48,potter,hemphill,96.16535129608283
58,presidio,jeff davis,48.56233120438997
29,randall,donley,61.387718268173565
3,randall,armstrong,30.573347658997054
108,randall,swisher,31.495153112766573
19,randall,collingsworth,92.21940910122713
32,real,edwards,27.221771894491372
117,reeves,ward,28.329568849846318
74,reeves,loving,30.41056028354577
87,rusk,panola,24.51966204613807
111,san jacinto,trinity,34.973211140922054
90,san jacinto,polk,23.28721785342489
7,scurry,borden,30.002234412905317
34,scurry,fisher,29.932775988848356
47,shackelford,haskell,37.60590748891639
110,shackelford,throckmorton,31.619819849918102
98,shelby,sabine,35.40821263306983
124,smith,wood,24.475125384880858
125,stephens,young,31.717201079902296
31,stephens,eastland,28.060197436938598
56,stephens,jack,51.737492111502924
86,stephens,palo pinto,30.35290557334664
60,tarrant,johnson,28.276469136994248
88,tarrant,parker,29.87509251432917
97,taylor,runnels,32.885394974977174
61,taylor,jones,30.21508187695183
11,titus,camp,16.07719631112574
93,titus,red river,27.727573216325634
37,titus,franklin,14.534415682620674
81,titus,morris,14.134012213012054
105,tom green,sterling,37.022191029414486
101,tom green,schleicher,38.08874026419728
55,tom green,irion,24.25016977613058
67,uvalde,kinney,40.686919316216375
45,wichita,hardeman,62.74916111809808
36,wichita,foard,60.13299169362303
2,wichita,archer,26.615393358372703
121,wichita,wilbarger,31.840230088244294
15,wichita,clay,32.069708571054626
5,wichita,baylor,39.33370003116168
